"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"java.awt.DisplayMode[]","0.00%","384","21"
"sun.awt.image.GifFrame","0.00%","384","35"
"com.bixly.pastevid.screencap.components.preview.RecordFromHere","0.00%","376","1"
"java.awt.AWTKeyStroke$1","0.00%","368","100"
"com.bixly.pastevid.screencap.RecorderMessage","0.00%","368","2"
"com.bixly.pastevid.util.view.JImagePanel","0.00%","368","1"
"java.lang.Class$1","0.00%","360","59"
"javax.swing.JToolTip","0.00%","360","3"
"java.lang.reflect.Constructor[]","0.00%","360","68"
"java.util.jar.Attributes$Name","0.00%","360","56"
"java.lang.UNIXProcess$2$1","0.00%","360","11"
"apple.awt.CWindow","0.00%","352","7"
"javax.swing.Box$Filler","0.00%","352","3"
"java.lang.NoSuchMethodException","0.00%","352","44"
"javax.sound.sampled.LineEvent","0.00%","352","44"
"apple.awt.OSXImage","0.00%","336","27"
"java.util.regex.Pattern$Ctype","0.00%","336","68"
"java.lang.Package","0.00%","336","25"
"java.util.zip.ZipFile$1","0.00%","336","33"
"java.awt.GridBagConstraints","0.00%","336","9"
"java.util.zip.ZipFile$ZipFileInputStream","0.00%","336","33"
"java.io.ObjectStreamField","0.00%","320","39"
"java.text.DigitList","0.00%","320","32"
"java.lang.ref.WeakReference[]","0.00%","320","97"
"javax.swing.DefaultButtonModel","0.00%","320","30"
"com.sun.imageio.plugins.jpeg.JPEGImageWriter$JPEGWriterDisposerRecord","0.00%","312","54"
"javax.imageio.ImageIO$ContainsFilter","0.00%","312","54"
"sun.security.action.GetPropertyAction","0.00%","312","56"
"javax.swing.ActionMap","0.00%","312","59"
"java.util.Properties","0.00%","288","23"
"sun.misc.SoftCache$ValueCell","0.00%","288","23"
"sun.net.www.MessageHeader","0.00%","288","57"
"java.awt.SystemColor","0.00%","288","26"
"java.util.logging.LogManager$LoggerWeakRef","0.00%","288","26"
"javax.swing.InputMap","0.00%","288","57"
"java.util.concurrent.ConcurrentHashMap$HashEntry","0.00%","288","37"
"java.util.Properties$LineReader","0.00%","288","21"
"com.sun.imageio.plugins.png.PNGImageDataEnumeration","0.00%","288","49"
"java.util.regex.Pattern$GroupTail","0.00%","288","53"
"java.util.regex.Pattern$GroupHead","0.00%","288","53"
"javax.swing.AncestorNotifier","0.00%","288","59"
